PG11009-0073	志願服務
PG11009-0071	遠距藥事服務：新媒體：用藥安全
PG11010-0004	原客關係：原住民：客家：經濟：咖啡：屏東
PG11010-0012	數位醫療：數位防疫：人工智慧：智慧防疫：防疫新生活
PG11010-0008	微表情辨識：人工智慧：深度學習
PG11002-0160	醫療器材：臨床試驗：查驗登記：化粧品
PG11010-0014	越南：同奈：客家：海寧農族：案首公公
PG11003-0245	肺癌：低劑量電腦斷層：篩檢：不吸菸：性別議題
PG11008-0224	社會福利：資料轉入
PG11001-0003	金門：鸕鶿：遷移
PG11008-0033	發電設備：再生能源
PG11008-0032	aa
PG11006-0090	創新經濟：數據驅動：去規模化經濟
PG11006-0177	跨境電商：電子商務
PG11006-0172	地工織物：橋墩基礎：鼎型塊
PG11006-0190	廢液晶顯示器：外循環再利用：高階顯示器
PG11001-0438	離岸風電：併網標準：電力系統諧波：諧波模型：諧波分析：諧波共振
PG11001-0443	精準醫療：精準醫療分子檢測：實驗室間比對：能力試驗
PG11002-0202	食品輸入業：衛生安全：自主管理：一級品管：食品安全監測計畫：強制檢驗
PG10702-0112	視覺化：可併網容量：再生能源：圖資
PG11005-0026	藥品：醫療器材：製造技術：藥物科技
PG11005-0157	公文線上簽核系統
PG11008-0201	abc
PG11008-0074	光學感測：可饒面板
PG10911-0102	中央氣象局全球模式預報系統：tfv3全球模式：數值天氣預報
PG11008-0097	玻璃基板：面板級扇出型封裝：電鍍填孔：微結構改質：奈米雙晶銅：高速電鍍：高頻模擬：g3.5
PG11005-0145	同步輻射：加速器：光源：光子源：光束線：中子
PG11005-0146	智慧運輸系統：車輛安全法規
PG11009-0079	個資法：專責機關：個資保護管理機制：法制研析
PG11008-0178	承載量：永續生態旅遊：遊客管理
PG11001-0004	歐亞水獺：保育：金門
PG11009-0019	關聖帝君：觀音佛祖：詔安客：信仰：地域觀
PG11009-0043	芎林：公學校：職員履歷書：書房：詩社：文林閣
PW10903-0137	消毒系統：物聯網：網站服務：智慧設備
PG11002-0269	列冊登錄管理：精準醫療分子檢測實驗室：品質管理
PG11008-0190	汽車客運業：成本計算
PG11001-0171	混成增益矩陣資料同化：fv3gfs全球模式系統：資料同化
PG11003-0449	臺灣能源工程模型：可計算一般均衡模型：能源政策評估
PG11001-0052	端粒的替代加長：核包膜網絡共享：端粒-端粒重組
PG11001-0588	中醫診所：多溴聯苯醚：多溴聯苯戴奧辛/呋喃：風險評估：室內灰塵
PG11001-0586	白藜蘆醇：pm2.5：秀麗線蟲：毒理學：健康風險評估
PW10903-0121	cdk5蛋白：p27蛋白：腫瘤細胞移動與侵犯
PG11006-0095	軌道檢查：鋼軌缺陷：鋼軌焊接
PG11001-0239	能源國際合作：apec：能源工作組：雙邊能源合作：國際組織
PG11008-0044	性侵害：強制治療：刑後強制治療：保安處分：刑事制裁：社會防衛
PG11001-0086	長期照護機構：感染管制
PG11008-0041	aa
PG11001-0252	臨終照顧：照顧品質：加護病房照顧：重症照顧：喪親後哀傷
PG11007-0134	鍋爐：天然氣：防爆電氣安全
PG10901-0171	臺灣黑熊：玉山國家公園：公民科學監測：保育推廣教育：瓦拉米步道：人造衛星追蹤：相機監測
PG10901-0148	病毒：上呼吸道：智慧分群
PG10901-0149	光機電震盪器：光學量子通訊
PG11001-0090	海床壓力：隱沒帶：地震
PG11001-0098	聲孔效應：放射治療：剪切波影像量測
PW10903-0136	排班：app
PG11008-0031	解封
PG11008-0085	獸醫影像學：雲端：寵物醫療
PG11008-0090	獸醫影像學：雲端：寵物醫療
PG11005-0047	溫控物流：儲運管理：自動化：人工智慧物聯網：最後一哩配送
PC11007-0324	全基因組關聯性研究：斑馬魚：抑制效應：lipc基因：cdh13基因：三酸甘油酯：高密度脂蛋白膽固醇：酯聯素：功能性基因體：中介分析：整合多體學
PC11007-0344	18ka轉運蛋白：一氧化氮酶：[18f]feppa：[18f]fbat：神經發炎：難治型憂鬱症
PD11007-0079	豬環狀病毒第三型(pcv3)：豬環狀病毒相關疾病(pcvad)：單株抗體：診斷試劑：類病毒顆粒：免疫調節疫苗
PF11007-0317	擴增實境：故事創作：親子：行動學習：說故事：繪本
PC11007-0265	類澱粉蛋白：3d明膠支架：人類神經幹細胞：肝臟x受體：to901317：粒線體功能
PB11007-0482	花青素：薑黃素：自乳化：間質錠：晶球包覆：釋控錠
PB11007-0483	多軸關節型機械手臂：自走車：視覺伺服：同步定位與地圖建立：避障
PD11007-0072	午仔魚：瓶鼻海豚鏈球菌：表現型：基因核型：致病性：轉錄體：疫苗
PF11007-0322	實習生角色轉換歷程：實習生自我效能：對成果的期望：組織社會化戰術：實習表現：實習後回任意圖：從學校到職場轉換歷程：社會認知職涯理論
PF11007-0347	績效審計：公共課責：評估：組織學習：績效審計成效
PF11007-0378	程式設計：做筆記策略：同儕學習：歷程分析
PF11007-0379	高齡社會：icf：生物心理社會模式：客製化：輔助科技：模式發展
PF11007-0380	會計師金融科技專家：金融科技：審計公費：審計品質：區塊鏈
PB11007-0452	機器學習：田口方法：核殼：稀土氧化物：發光材料
PB11007-0453	亞健康：代謝症候群：慢性腎病：機器學習：集成式學習：整合式預測模式：風險因子：醫療機構驗證
PG11002-0155	食品安全監測計畫：通路商
PG11002-0191	課程轉化：三層級輔導系統：課程協作：十二年國民基本教育課程綱要
PG11003-0258	國際行動通訊2020：第三代合作夥伴計畫：毫米波通訊：相控晶片：相位陣列天線：射頻收發機：功率放大器：增強型超高密度網路系統
PG11003-0426	活體肝臟移植：肝癌：hbv 復發：長庚醫學研究資料庫
PG11001-0145	結節硬化症：基因突變：核醣核酸剪接：高通量篩檢：精準醫療
PG11001-0191	神經表觀遺傳學：基因組印記：機轉：功能：神經科學
PG11001-0192	漸凍人：運動神經元：微型核糖核酸
PG11001-0341	黏附因子：氧化壓力：發炎：維生素d3：粒線體自噬
PG11001-0112	小rna病毒：腸病毒：冠狀病毒：crispr-cas9篩選系統：抗病毒藥物
PG11001-0123	肝細胞癌：染色體外環形dna：癌症治療：致癌基因
PG11001-0117	肝癌：肝癌起源細胞：肝門靜脈：中央靜脈
PG11001-0175	物質濫用：兒童期負面經驗：自我認知：自我基模：飲酒：吸菸：毒品使用：性別
PG11006-0291	攝影：剪輯：配樂：影片：幣章
PG11007-0193	細胞治療：多巴胺前趨細胞：巴金森氏症：間質幹細胞：缺血性中風
PB11007-0789	積層製造：熔池運動：som演算法：孔隙率：機器學習
PA11007-0337	自然時序分析：去趨勢波動分析：費雪-夏儂訊息分析：網絡拓樸分析：電磁訊號異常：機器學習：深度神經網絡：地震前兆：地震預報
PC11007-0361	巴金森氏症：alpha突觸核蛋白：路易士體沉積：snca p.a53t基因轉殖鼠：神經電生理：beta振盪波：局部電場：動作電位
PC11007-0359	甲狀腺癌：乳突癌：ret基因融合：ntrk基因融合：braf基因突變
PF11007-0419	探索性創新：研究與發展：預期股票收益：無形資產
PC11007-0268	二尖瓣逆流：纖維母細胞：心肌細胞：微型核糖核酸：外吐小體：心臟再塑形心衰竭：心衰竭
PA11007-0236	微生物誘導礦物沉澱：尿素酶：碳酸鈣：河口飛砂及揚塵
PB11007-0487	類神經網路搜索(nas)：one-shot nas：硬體感知：虛擬硬體平台：網路和硬體協同搜索
PD11007-0076	植物吸收：藥物：代謝物鑑定：液體層析質譜儀：快速分析方法
PB11007-0526	深度神經網路：最佳化方法：影像資料處理
PA11007-0251	凡德瓦磁性材料：磁異向性：線偏振二向性：極磁圓偏振二向性
PG11008-0023	商業模式：電子商務：經營策略
PG11003-0188	工業4.0產品準則：資產管理殼：智慧產品：opc統一架構伴隨規範：自動化標記語言
PG11003-0196	生物資源銀行：蛋白質指紋圖譜：泛基因體：難培養微生物：優良實驗室操作規範：酵母菌酛
