iknow00001	CES(消費性電子展)：自動駕駛系統(Autonomous System)
iknow00002	V2V(Vehicle-to-Vehicle)：自動駕駛系統(Autonomous System)
iknow00003	自動化：ABB：Walker Innovation
iknow00004	技術趨勢：技術發展情境
iknow00005	俄羅斯：科技創新：閃存隨身碟
iknow00006	專利評分：IEEE：IEEE Spectrum：Patent Power 2016
iknow00007	智慧型手機(Smartphone)
iknow00008	智慧型手機(Smartphone)：蘋果(Apple)：三星(Samsung)
iknow00009	漢諾威展覽：協作機器人：智能工廠：關鍵技術：數位分身：人工智慧
iknow00010	擴增實境(Augmented Reality)：虛擬實境(Virtual Reality)：WebVR
iknow00011	ANDA：新藥開發：專利：學名藥：學名藥專有保護
iknow00012	智慧家居：Apple HomeKit
iknow00013	CES(消費性電子展)：亞馬遜(Amazon.com)：語音助理(Voice Assistant)：虛擬助理(Virtual Assistant)：智慧喇叭(Smart Speaker)
iknow00014	CES(消費性電子展)：智慧家庭(Smart Home)
iknow00015	個人電腦(PC)：超行動電腦(Ultramobile)：行動電話(Mobile Phone)
iknow00016	消費性電子展(CES Show)：OLED電視(OLED TV)：三星(Samsung)：索尼(Sony)：QLED電視
iknow00017	專利侵權：著作權：思科系統(Cisco System)：Arista Network：網路設備：網路交換器：網路作業系統：IOS：EOS：CLI
iknow00018	虛擬實境(Virtual Reality)：融合實境(Merged Reality)：英特爾(Intel)
iknow00019	俄羅斯：反壟斷(FAS Russia)：聯想(Lenovo)：惠普(HP)
iknow00020	美國國際貿易委員會：專利侵權：關稅法337條：圖形處理器(GPU)：ZiiLabs：超微：高通：聯發科
iknow00021	高通：魅族：無線通訊技術：標準必要專利(SEP)
iknow00022	最佳創新產品：CES 2017
iknow00023	無線通訊：標準必要專利：華為：InterDigital：專利授權
iknow00024	歐盟：歐洲單一專利：歐洲單一專利法院：英國脫歐
iknow00025	液晶電子手寫板：美國ITC 337調查：中國：Kent Displays
iknow00026	人工智慧：科技研究發展戰略：國家戰略
iknow00027	美國專利獲證：美國專利統計及趨勢
iknow00028	個人電腦(PC)
iknow00029	專利侵權：LED封裝：日亞化學株式會社：VIZIO(瑞軒科技)：液晶電視：LED照明
iknow00030	創業投資(Venture Capital)：獨角獸新創公司(Unicorn Startup)
iknow00031	智慧型手機(Smartphone)：蘋果(Apple)：三星(Samsung)：諾基亞(Nokia)：樂金(LG)：折疊式智慧型手機(Foldable Smartphone)
iknow00032	智慧家庭(Smart Home)
iknow00033	機器人(Robotics)
iknow00034	CES 2017：健康量測：智慧穿戴裝置
iknow00035	CES：創新產品：兒童：智慧裝置
iknow00036	Nalog na Google：谷歌稅：俄羅斯：虛擬(數位)產品：商品稅
iknow00037	俄羅斯：農業物聯網：物聯網
iknow00038	美國聯邦貿易委員會：高通：無線通訊：基頻晶片：標準必要專利：反壟斷：托拉斯
iknow00039	專利侵權：美國國際貿易委員會(ITC)：關稅法337條(19 U.S.C. § 1337)
iknow00040	新南向戰略：東協：智財佈局
iknow00041	5G：蜂巢式網路(Cellular Network)
iknow00042	半導體(Semiconductor)
iknow00043	無人駕駛車(Self-driving Car)：亞馬遜(Amazon)
iknow00044	無人機(Drone)：無人駕駛機器人(Self-driving Robot)：送貨機器人(Delivery Robot)
iknow00045	腦波
iknow00046	腦波：人機介面
iknow00047	腦機介面：腦波
iknow00048	寬頻(Broadband)：智慧型手機(Smartphone)：社交媒體(Social Media)：平板電腦(Tablet)
iknow00049	歐盟：歐洲單一專利：歐洲單一專利法院：英國脫歐
iknow00050	蘋果：高通：無線通訊：基頻晶片：標準必要專利：市場壟斷：托拉斯：違反契約義務：專利權耗盡
iknow00051	美國國際貿易委員會：專利侵權：關稅法337條：圖形處理器(GPU)：AMD：ATI：聯發科
iknow00052	半導體：大客戶
iknow00053	南韓公平貿易委員會(KFTC)：高通(Qualcomm)：反壟斷：無線通訊：標準必要專利(SEPs)
