PG10812-0040	戶外教育：活動理論：十二年國民基本教育：校訂課程
PG10812-0041	教學評量：形成性評量：歷程性評量：素養導向課程：教師增能研習課程
PB10812-0023	智慧製造：工具機：熱結構變形：多通道溫度感知：電磁干擾：熱平衡冷卻技術：數位雙生：類神經網路：粒子群最佳化演算法
PB10812-0021	鋰硫電池：新型金屬-硫電池：電化學：儲能材料：高能量密度：轉化型電池化學：奈米複合材料：材料製程
PB10812-0039	寶特瓶廢棄物：廢棄物資源化：金屬有機骨架：光催化：單原子催化：電漿催化：室內空氣淨化
PG10812-0044	核心素養：適切指標：國中教育階段：跨領域統整課程：課室層級
PF10812-0181	英語文法：英語句法：教育機器人：玩具：物聯網感應科技：內容和語言之整合學習：遊戲敘事：教學設計：引出式學習：具身化語言學習
PF10812-0029	企業稅：涓滴效果：企業儲蓄：所得不均度
PB10812-0026	地震位移：位移反應：地震工程：鋼筋混凝土：地震分析：現有建築物：高強度鋼筋：新材料：餘震：勁度：有效勁度
PC10812-0014	蛋白去磷酸酶 pp4：敗血症：先天免疫系统
PB10812-0024	手持式雷測掃描儀：同步定位與地圖構建
PC10812-0008	類風濕性關節炎：adiponectin：血管內皮生長因子
PF10812-0106	手機：社群：連結：社會互動：生活紀錄：手機敘事
PG10812-0062	雲林縣：詔安客：聚落空間：詔安客語
PG10812-0061	風力再生能源設備查核：風力發電預測
PA10812-0004	不對稱催化：鏡像選擇性：碳氫鍵活化：協同催化：烯丙基取代反應：過度金屬催化：有機催化：極反轉反應：生物鹼：氟化反應
PA10812-0039	環境永續：綠色能源：基礎科學：綠色技術
PB10812-0080	ai 邊緣/終端裝置：混合記憶體架構設計與最佳化：快速記憶體系統電路與佈局規劃
PC10812-0010	g蛋白偶聯受體：蛋白晶片：病毒表達：訊號通路：高通量：配體
PE10812-0021	日文系學生：日語發音：日語填補詞：非流暢性發話：基礎統計
PB10812-0068	調制光譜：半導體光特性：材料光特性：多重量子井：層狀半導體
PB10812-0081	測試：可靠度：零故障：智慧型車用晶片：機器學習
PA10812-0040	活動斷層作用：地震災害：斷層關聯褶皺作用：構造地質：平衡剖面：還原剖面：大地測量：類比模擬：弧陸碰撞：增積楔形岩體：台灣西南部：第四紀：上新世：中新世：古亭坑泥岩
PF10812-0042	鄰接矩陣：截面依賴性：辨認：工具變量：網絡：面板數據：空間模型：空間權重矩陣：社會互動：社會矩陣
PF10812-0139	人工智慧：國際鏈結
PA10812-0021	科技部：大地科學門：科學成就：科普視頻
PA10812-0011	鏡像異構物：不對稱合成：交接式合成：光催化
PF10812-0125	政治偏好：寺廟：得票率：政黨：選舉
PA10812-0023	計算物理：張量網路：凝態物理：拓撲態
PB10812-0014	服務品質：裝置到裝置：用戶設備到網路中繼器：物聯網：第五代行動通訊系統：頻譜分割：長程演進計劃：參數集：資源分配
PA10812-0001	結構光渦脈衝：聲波致動：渦流chladni圖騰：選擇性激發固態雷射：高階橫向模態
PA10812-0038	氟化學：聚集放光：化學感測器：生物顯影：光物理
PF10812-0010	行動科技：成癮症候群：人格特質：跨文化：台灣：大學
PB10812-0083	2.5/3維封裝：速度測試：協同設計：綜合電流源：直流測試：功能測試：異質整合：整合扇出型封裝：晶片間連線：長尾理論：機器學習：米勒效應：非線性延遲模型：堆疊式封裝層疊：封裝擺置：寄生分析：重分配層繞線：可靠性：靜態時序分析：測試品質
PC10812-0011	人類白血球抗原：嚴重皮膚不良反應：新諾明磺胺藥
PC10812-0004	子宮內膜癌：己酮糖磷酸酶：果糖
PB10812-0084	電子設計自動化：量子計算：架構搜尋：模擬：驗證：合成：編譯
PG10812-0105	離岸風電：線性陣列雷達：高頻雷達
PG10812-0108	廢泡棉：醇解：木材塗料：回收再利用
PB10812-0015	多孔鎳鈦合金：彈熱致冷：形狀記憶效應：雷射積層製造：析出物
PA10812-0013	拓墣絕緣體：量子奇異霍爾效應：反鐵磁性：機器學習
PA10812-0006	磁性奈米複合材料：電磁動力學：磁熱效應：癌熱炙治療：胞外體
PC10812-0001	衰弱症：衰弱性骨折：健康風險：行動裝置：健康照護方案
PC10812-0006	高血壓：腎素-血管收縮素系統：成年海馬神經新生：阿茲海默症
PA10812-0028	低維度：鈣鈦礦：光電化學分析：鈣鈦礦太陽能電池：染料敏化太陽能電池
PB10812-0036	企業社會責任：企業經營績效：資料包絡分析：混合型網路結構：方向差額為基礎測量
PG10812-0082	瀕危語言：雲林客語：大埤鄉田寮客語：方言島：音韻系統：詞彙移借
PC10812-0019	pannexin 1：panx1：gq：rho：hdac6：sik1：離子通道：α1腎上腺素受體：正腎上腺素：嘌呤信號路徑：血管平滑肌細胞：t 細胞：代謝質體學：蛋白質體學：電生理
PC10812-0017	類風濕性關節炎：抵抗素：發炎反應
PG10812-0054	道路安全：行為指標：核心指標
PG10812-0101	再生能源憑證：再生能源憑證案場設備智慧監控：專家系統：資料視覺化：區塊鏈：再生能源發電設備查核：微水力再生能源：再生能源查核人員
PG10812-0052	非游離輻射：電磁場：射頻
PA10812-0014	腦科技：臨床前檢測及驗證：加值及推廣：大腦奧秘：精準醫療
PG10812-0081	客家語：歇後語：師父話：隱喻：認知語言
PG10812-0161	人工智慧：深度學習：客語語音辨識：物聯網
PG10812-0071	客家文化重點發展區：客庄：客家政策
PG10804-0091	寬頻政策：光纖：寬頻普及：網路交換中心：寬頻應用：無人機：數位人權：監理沙盒
PG10804-0096	再生能源：資訊安全
PG10812-0063	海象：災防應用
PG10812-0080	人工智慧：客家：物體辨識：器用植物
PG10804-0186	非號誌化路口：交通工程：設計範例
PG10804-0038	數位牙科：口內掃描：電腦設計/電腦製作：3d列印：桌上模型掃描：植牙導航
PG10812-0083	客語：桌遊：沉浸式客語教學
PG10812-0072	再生能源憑證：太陽光電現場查證：太陽光電性能實證
PG10812-0065	客語：兒向語：聲調：變調：基頻：音高
PA10812-0007	高壓合成：高壓量測：多鐵性材料：鐵電性：中子散射：x光繞射：晶體結構：磁性結構
PC10812-0016	復健：加護病房：靜脈血栓：譫妄：肌肉減少症：物理治療：職能治療：心肺復健：早期介入：運動處方：安全性：不活動
PB10812-0082	二值化神經網路：近似計算：積極性能優化：量化神經網路：記憶體內運算
PG10812-0099	客庄產業經濟：三大普查資料：桃竹苗客家資料庫：遙測技術：地理資訊系統
PG10812-0075	桃竹苗客庄：永續發展：農林漁牧業普查：客庄農林漁牧產業：客庄地方創生
PG10812-0085	雲林：詔安客家：生活空間：生態博物館
PB10812-0017	氧化：焊料潤濕性：可靠性：常壓電漿：電漿清潔
PG10812-0066	國內遷移：客家
PG10807-0055	臺北市：鄰里交通環境：標線型人行道：汽機車格位：標誌標線：交通安全：停車改善：自行車格位
PG10812-0059	氣象資料災防應用：暴潮預報：海象資料：西北太平洋：氣象衛星資料：對流降雨
PG10812-0078	辭書：臺灣客語：满思謙：英客字典：羅馬字
PG10812-0077	客家：疾病：史料：日治時期
PG10804-0135	中藥：基原：炮製：飲片：中藥典
PG10804-0089	除役作業：輻射分析：marssim：marsame
PG10812-0088	客家意象：隱喻誘引技術
PG10812-0094	客庄：土地利用變遷：衛星影像：地理資訊系統：產業經濟特性
PG10812-0084	媒體使用：族群認同：東部客家
PG10902-0254	紐西蘭：性別薪資均等：數位經濟：平台經濟：零工經濟：同工同酬：anztec
PG10901-0164	海象：氣象：氣象衛星：即時預報：災防應用：地理資訊
PG10812-0086	水租：客庄：桃竹苗：水利秩序
PG10812-0087	客家研究：族群關係：文化敘事：認同研究
PG10812-0119	客家話：桃園：平鎮：中壢
PG10812-0093	客家：社群媒體：總統大選
PG10812-0090	客家：語言學習：ai應用
PG10812-0091	詔安客家：武術：民間宗教：醫療保健
PF10812-0054	莫伯驥：五十萬卷樓：四庫全書總目：解題書目
PG10812-0089	客家：藥用植物：語言學習
PC10812-0018	幼鼠動物模式：肺病過敏性發炎反應：鄰苯二甲酸二(2-乙基己基)酯：腸道微生物叢：新生兒：塑化劑：早產兒：疫苗反應
PG10812-0115	母語傳遞：客家認同：文化心理學：生命敘事
PG10812-0112	地熱：生質能：憑證
PG10812-0096	智慧型海運系統：船舶自動辨識系統：船舶減速
PG10812-0102	客家：藍染：工藝產品
PG10803-0010	產業標準：國際標準：區域組織：亞洲太平洋經濟合作組織：技術和創新政策夥伴會議：5+n產業創新
PG10812-0189	營養素：特定成分：生理功能詞句
PG10812-0103	客庄：三大普查統計資料：產業經濟發展
PG10812-0129	文化融匯與韌性：族群邊界建構：多元文化主義的政治：印尼華人民間宗教
PG10812-0114	花蓮客家：客家社區：生態旅遊：文化廊道：里山
