PG10605-0204	冷鏈物流：智慧物流：高運力：供需調度：跨國通路
PG10604-0148	數位／電子治理：數位／電子化政府：職能：人力資源：人力評鑑
PG10604-0104	公共運輸：健保資料：學籍資料：旅次起迄
PG10604-0146	海象：災防應用
PG10606-0042	英語文：素養導向：教學模組
PG10605-0040	醫療法規：遠距醫療：醫師工時
PG10604-0127	遠距照護：社區關懷據點：獨居老人
PG10604-0109	高齡友善城市：環境監測：指標
PG10604-0149	開放政府：開放資料：公民參與：效益評估：join平臺
PG10604-0142	海象：氣象：氣象衛星：即時預報：災防應用：地理資訊
PG10605-0131	廢機油：生物復育：機油分解菌
PG10707-0038	思覺失調症：第二代長效針劑：第一代長效針劑
PG10604-0113	台灣原住民藥用植物彙編：藥用植物：原住民：再版
PG10604-0114	科技領域課程：教學模組：十二年國教
PG10604-0134	文化資產信託機制：信託法：公益信託：信託組織
PG10604-0112	有機：無機：奈米
PG10604-0115	中藥材：中藥製劑：二氧化硫：黃麴毒素：重金屬
PG10606-0121	食品：藥品：醫療器材：化粧品：業者
PG10606-0131	數位匯流：頻譜管理：誘因拍賣：頻譜共享
PG10604-0138	兒童異位性皮膚炎：中西醫合作照護
PG10707-0035	急診留觀：超過48小時
PG10605-0162	門鎖：安全
PG10604-0136	同成分不同廠牌：原廠藥：學名藥：藥品療效相等性：健保資料庫
PG10605-0089	自由貿易港區：自由港區：營運績效：前瞻決策分析：產業趨勢
PG10707-0041	脊背橋：橋梁監測：纜索監測：養護管理
PG10602-0380	太魯閣國家公園：物聯網：智慧國家公園：虛擬實境：智慧服務平台：行動裝置：數位科技
PG10606-0047	社會報酬率：社會發展政策：公共治理指標
PG10601-0003	迷迭香酸：透析液：內皮細胞：腎毒素：纖維化
PG10604-0135	公教人員保險：精算：保險費率：養老給付：死亡給付：年金
PG10604-0151	巨量：毒品施用：暴力犯罪：再犯因子
PG10612-0147	健康體位：肥胖：健康飲食：規律運動
PG10612-0122	消費意識：消費行為
PG10612-0128	智慧機械：智慧製造：虛實整合系統
PG10612-0123	抗氧化物：總酚含量：抗氧化基因表現
PG10612-0127	地形圖徵：地形圖：跨領域：網路服務
PG10612-0124	慢性阻塞性肺病：慢性阻塞性肺病合併支氣管擴張症：預後
PG10612-0131	廢車破碎殘餘物：分離純化：氣化技術：熱裂解技術
PG10807-0299	全毀事故率：飛行疲勞：水飄
PG10612-0214	廢輪胎：熱壓法：氣體分離膜
PG10612-0204	藏紅花：藏紅花素：藏紅花苦甙：視覺保健：視覺功能評估：視覺退化預防
PG10612-0140	鉛酸電池：回收：鉛渣
PG10605-0106	活性覆蓋法：含硫活性碳：甲基汞：底泥
PG10605-0088	食品：藥物：稽查
PG10612-0130	世大運：經濟效益
PG10605-0086	油水分離：兩性雙離子
PG10612-0133	輸入食品：比較分析：邊境管制：查驗機制：食品邊境管理
PG10612-0154	奈米微粒：細胞毒性：斑馬魚胚胎模式
PG10610-0010	文化保存：政策規劃：文化生態：文化資產
PG10610-0015	潛伏結核病：透析：慢性腎衰竭：丙型干擾素釋放試驗：潛伏結核感染：結核病：預防性治療
PG10604-0066	計程車：衛星派遣：app叫車：消費者保護
PG10612-0170	深孔鑽削：航太液壓伺服閥：微流道製作：微奈米氣泡：放電鍍膜技術：鑽針表面微加工：噴流輔助鑽削
PG10612-0269	友善就醫：服務品質：滿意度：忠誠度
PG10605-0121	電業轉型：電力調度：輔助服務：調度運轉費用：調度費收費程序及規範
PG10605-0112	木質素：碳氈：奈米纖維
PG10710-0093	工作技能需求：5+2產業政策
PG10605-0187	數位服務：行動加值服務
PG10612-0156	廢機動車輛粉碎殘餘物：水力漩流分離：功能性產品
PG10612-0160	初級照護：國際疾病分類第十版臨床修訂：申報資料診斷：前後比較研究
PG10701-0129	樹脂：環氧樹脂：道路標線：廢輪胎回收再利用
PG10612-0117	產業策略會議：科技顧問會議：科技建言書
PG10604-0099	試衣間：虛擬實境：影像辨識
PG10604-0097	價值鏈：價值創新
PG10601-0004	迷迭香酸：腹膜透析：抗發炎：腹膜間皮細胞：高葡萄糖腹膜透析溶液
PG10602-0331	新藥探索：癌症：新穎藥物傳輸系統：胃腸道基質瘤：急性骨髓性白血病
PG10710-0111	老屋研究調查：再利用計畫
PG10612-0118	廢液晶面板：奈米孔洞：電鍍廢水
PG10607-0069	電業法：再生能源購售電：最適營運環境
PG10607-0048	弱勢家庭：不利地位之家庭：資料庫
PG10603-0482	健康識能：介入措施
PG10603-0199	肺癌：標靶治療：辨證論治：分子生物技術
PG10605-0185	海洋生物：潛點：潮間帶：環境教育遊程：生態旅遊：民眾參與調查：海洋休閒產業：基礎調查
PA10605-0048	台灣多尺度社區海洋模式：偶合模式比較計畫：太平洋氣候變化：海洋經向環流
PA10605-0045	奈米酵素：酵素連結免疫吸附分析法：鏈親和素：生物素：抗體：抗原
PC10605-0018	肝細胞癌：b 型肝炎病毒：shp‐1 磷酸酶
PB10605-0068	太空產業：微/小衛星：立方衛星：探空火箭：太空產業推動
PB10605-0064	物聯網：影像偵測辨識：無線感測技術：智慧載具：智慧型賣場：智慧型停車場
PC10605-0014	免疫調節藥物：合併免疫治療：乳癌：惡性黑色素瘤：大腸直腸癌：頭頸癌：腫瘤微環境
PF10605-0072	大數據：創新：研發：資料映射：資料採礦：文字採礦
PC10605-0012	血管内皮生長因子：紙型免疫吸附法(paper-based elisa)：糖尿病視網膜病變：老人性黃 斑部病變
PG10512-0229	自由場強震站：地震測報
