PG10707-0063	智慧建築：推廣策略
PG10710-0094	租稅規避：推計課稅：納稅者權利保護法
PM10710-0001	3d列印：創用中心：產業推動
PG10710-0097	警察：犯罪被害人：修復式正義
PG10710-0098	晶圓整平：封裝設備
PG10710-0096	超臨界二氧化碳：再生醫學：生醫材料
PG10612-0183	醫院供應中心：內視鏡：醫療器材：作業品質
PG10710-0100	積層製造：3d列印：椎間填充塊：雷射
PG10711-0001	教師專業發展：國中小學教師：增能課程
PG10710-0102	ai牙釘設計：生醫元件設計：3d列印
PG10801-0154	嬰幼兒公共托育：公共托育中心：合作聯盟托嬰中心：居家托育服務：育兒津貼補助：社區親子服務：新北市
PG10701-0422	能源統計：能源統計刊物：電力排放係數：燃料燃燒溫室氣體排放統計：能源流程圖：視覺化
PG10710-0105	骨質疏鬆：脊椎壓迫性骨折：3d列印：模組化椎體內支撐器：創微植入手術工具：cnc加工：專利布局
PG10710-0099	健康識能：非傳染性疾病
PG10711-0003	酵母菌：亞羅亞氏菌：二元酸
PG10710-0106	退休規劃：退休歷程：調查研究
PG10710-0108	智慧倉儲：倉儲管理系統：示範倉儲
PG10711-0002	老人：營養：營養介入：健康促進
PG10703-0014	環境智能：體感科技：擴增實境：運動評量技術：軌跡分析：情緒感知
PG10710-0109	官僚轉型：精進政府效能：人才培訓：認知科學：行為科學：科學學習：培訓科技：學用落差
PG10707-0074	地形圖徵：地形圖：跨領域：網路服務：鏈結資料：開放資料：資料共享
PG10812-0050	市長公館：宮原武熊
PG10707-0070	十二年國民基本教育：彈性學習課程：客語
PG10708-0001	數位供應鏈：流程自動化機器人：人工智慧：去中心化
PG10705-0136	早產兒：極低出生體重：預防保健服務利用：發展異常
PG10705-0137	非肉類食品：雜環芳香胺：暴露風險評估
PG10703-0122	海床面地形：海床下地質：離岸風機：地質鬆動：檢監測技術
PG10703-0102	食品安全：食品衛生
PG10703-0153	中央氣象局全球預報模式：梅雨：季內振盪
PG10701-0050	卡波西氏肉瘤皰疹病毒：基因體簇聚
PG10707-0080	全民健保：顧客滿意度：醫師滿意度：監測指標
PG10711-0035	消防派遣：緊急救護派遣
PG10708-0047	燃燒調整：爐膛振動：燃燒優化：限電：鍋爐
PG10708-0046	生脈散：化學指紋層析圖譜：人參：麥冬：五味子
PG10708-0049	智慧監控系統：資料分析：即時監控：影像分析：安全管理
PG10708-0058	單氯丙二醇酯：縮水甘油醇酯：植物油：嬰幼兒奶粉：氣相層析串聯質譜儀
PG10708-0057	肝癌：磷脂肌醇聚糖3
PG10707-0081	山區地下水：北段山區：淡水河流域：開發潛能：地質模型
PG10502-0135	乳房攝影儀：電腦斷層掃描儀：透視攝影儀：輻射醫療曝露品質保證
PG10707-0017	防災預警：即時動態定位：電塔監測：無線傳輸
PG10711-0030	藝術史：新北市藝術家
PG10711-0031	典藏：狀況檢視
PA10507-0900	大氣化學：同位素：生物地球化學循環：溫室氣體(co2和n2o)
PG10612-0274	躁鬱症：重鬱症：急性發作：轉錄體分析：基因表現：表基因體：甲基化：網絡分析
PG10711-0004	無線監測模組：水力力學耦合分析：依時預警系統
PG10707-0076	安全度評估：數據更新：同行審查
PG10804-0006	矽晶太陽能電池與模組：平衡稅：反傾銷稅：雙重救濟：防衛措施：貿易救濟：201條款：世界貿易組織
PG10506-0023	放射治療：放射治療品質保證：醫用直線加速器：遙控式後荷近接治療機：電腦斷層治療機：電腦刀：加馬刀
PG10612-0176	死因統計：iris：原死因選擇：主要死因國際比較
PG10705-0009	垂直軸風機：減噪裝置：數值流體力學
PG10902-0306	國定十三行遺址：考古學：考古遺址：金屬器時代：十三行文化：考古遺址文化內涵：文化內涵分析
PG10701-0097	科技創新：數位轉型：政策治理
PG10612-0273	孟德爾隨機分派研究：氣喘：肥胖：肺功能：體能活動：青春期：呼吸道發炎：睡眠呼吸障礙
PG10701-0516	用電安全：電力工程
PG10703-0103	肥胖：身體質量指數：慢性腎臟病
PG10703-0117	人類免疫缺乏病毒：篩檢成效：母子垂直感染：暴露前預防性投藥：個案管理：發生率
PM10606-0072	電動車：電動大客車：充電站：電池
PM10606-0109	工業合作：補償貿易：互惠
PM10606-0025	溫室氣體階段管制目標：製造部門溫室氣體排放管制行動方案：排放額度：總量管制核配
PM10606-0030	工業管線：災害防救：管線完整性管理：緊急應變：決策支援：風險評估
PM10606-0068	醫療電子：醫療器材：法規輔導
PM10606-0040	智慧機械：智能製造：工業4.0
PG10701-0371	教學藥園：哈哼花
PM10606-0019	區域聯防：工業區：緊急應變
PM10606-0043	低碳生產：節能減碳：汰舊換新：低碳燃料：能效提升
PG10706-0308	醫師勞動權益：勞動基準法：遠距醫療：遠距照護：通訊診療
