PG10605-0085	嗅覺：嗅覺皮質：梨狀皮質：前額皮質：杏仁核皮質：神經元路徑追蹤：輸出神經元圖譜
PG10707-0039	精神病患：監護處分
PG10604-0130	日間照顧：社區：長照計畫
PG10604-0129	服務品質：關係品質：滿意度：忠誠度
PG10505-0256	助產師：陪產滿意度：友善生產
PG10412-0173	豬霍亂沙門氏菌：吲哚胺2,3 雙加氧酶：細胞自噬：腫瘤標定
PG10505-0196	資通訊科技：智慧健康醫療：學習型健康照護系統：電子健康紀錄：品質指標：跨國合作
PG10506-0187	網路世代：國防政策
PG10610-0052	平交道：障礙物偵測：影像傳輸：定時警報：延時警報：臺灣鐵路管理局
PG10504-0073	固網接續費：網路互連：成本計價：固定通信業務
PG10504-0131	食藥署：災害防救物資：調度支援系統
PG10504-0109	失智：老人：健康促進：運動：性別分析：飲食：失能：認知訓練
PG10504-0159	急性胰臟炎：尿液試紙：預後：胰蛋白酶原-2：床側急性胰臟炎嚴重度指標
PG10510-0002	訴願先行：勞工保險：爭議審議
PG10601-0010	鉛酸電池：冶煉：鉛渣：耐火材料
PG10501-0299	b值：潛勢區域：回復周期：機率
PG10505-0095	活躍老化：高齡照護：資料倉儲：決策支援系統
PB10506-0068	網路資料包絡分析法：模糊理論：車用安全系統：群體決策
PG10504-0200	自然語言處理：語料庫：辭典
PG10504-0179	監測：敦煌莫高窟：北港朝天宮：壁畫：劣損
PG10505-0001	退化性關節炎：腦中風：世代研究
PG10504-0177	綠色經濟：職務：人力供需：職能
PG10504-0168	震動訓練：中老年人
PG10505-0003	慢性阻塞性肺病：多元不飽和脂肪酸：發炎反應
PG10504-0196	慢性思覺失調症：健身運動：體適能：心理健康
PG10505-0023	海域生態：海洋生物：生態資源：生態遊程
PG10506-0174	固碳作用：碳酸化轉爐石：海藻培育系統：海藻礁：海洋牧場
PG10605-0154	渦流光束：雷射：大氣紊流：非線性光學
PG10605-0152	混沌安全傳輸：反干擾
PG10505-0136	睡眠呼吸中止症：三叉神經嗅覺
PG10505-0215	健康促進：物聯網：穿戴式裝置：運動處方
PG10505-0210	物聯網：穿戴式裝置：智能健康照護：健康促進
PB10505-0733	發光二極體（leds)：canny多級邊緣偵測法：膚質檢測：光學密度
PB10505-0776	積層製造：生物活性玻璃：複合材料：仿生椎弓螺釘系統
PB10505-0779	雙面雙切削法：戟齒輪：齒面修形：線上量測：齒面誤差修正：五軸工具機：人機介面
PC10505-0263	乾燥症：甘露飲：桑菊飲：血府逐瘀湯：氧化壓力：免疫調節：基因調控
PB10505-0788	lte：4g：信號量測：大數據：資料倉儲
PC10505-0269	支氣管鏡：近紅內線：光纖導引：經皮氣管切開術：穿刺：氣管切開術
PG10505-0240	冷鏈物流：城市物流：多溫層物流服務：多溫共配：效期管理：儲運管理：供需整合：資通訊技術
PG10503-0020	3d：測量：數位
PG10502-0022	口腔復形規劃：數位口腔咬合模擬：攝像式口內掃描系統：雷射銑削加工之補綴系統：客製化醫材管理：醫療器材品保品管
PG10501-0079	動靜脈瘻管通路：無穩態簡諧振盪模型：血管順應性：阻力參數：血液流體穩定性
PG10503-0085	開花結實物候：玉山杜鵑：玉山櫻草：全球氣候變遷
PG10503-0078	長期照護：照顧計畫：操作指引：案例分類系統
PG10501-0390	癌症：癌幹細胞：癌症標誌：標誌篩選：高通量：微流體系統：感應器陣列：電晶體
PG10506-0008	兩岸四地：客家：知識體系
PG10506-0001	空氣品質：推估系統：高雄港
PG10506-0017	為民服務：數位匯流：線上申辦
PG10507-0016	電漿火炬：反應器：全氟化物：裂解：模擬
PG10506-0209	物聯網：機對機
PG10507-0029	國防科技工業組織：標竿管理：idef0方法論
PG10502-0041	物聯網：逃生導引演算法：除霧技術：影像識別：智慧型避難系統
PG10502-0023	防火避難綜合檢討：公共安全檢討申報：防火避難綜合檢討查核表
PG10501-0769	食安法：認證驗證制度：衛生安全管理系統：台灣食品技師協會
PG10502-0076	化粧品：奈米粒子：比對
PG10502-0036	非鉑觸媒電極：免加濕膜電極組：高導電耐蝕金屬雙極板：水管理與co2捕捉：鹼性燃料電池：鹼性膜燃料電池
PG10501-0784	複合材料：控制翼：超音速：環氧樹脂：預浸料
PG10501-0354	腫瘤治療：腫瘤相關巨噬細胞
PG10506-0133	全通路：近端商務
PG10507-0021	益生菌：胃幽門螺旋桿菌感染
PG10507-0026	交通流量：調查
PG10506-0192	公文系統：人民申請案
PG10507-0030	國際研討會：中藥藥典：中藥品質管制：評析專冊：兩岸交流
PG10507-0001	釩液流電池堆：微機電系統：可撓式整合型微感測器
PG10501-0010	食物媒介性病原：畜牧場：監測：流行病學
PG10505-0195	機率地震危害度分析：機率斷層錯位危害度分析：耐震度曲線：核能電廠：海嘯：防海嘯牆：重啟動
PG10503-0105	植牙：骨整合：穩固度：骨缺損：電磁式激振：非侵入式檢測：儀器開發
PG10503-0104	失智症：健保資料庫
PG10507-0004	太陽能電池測試：光譜：螢光：影像量測
PG10506-0201	覆晶式：微型紅光發光二極體
PG10505-0153	傳統表演藝術：消費
PG10505-0222	母乳哺育：母乳哺育率：親子同室率：電話訪問：母嬰親善環境
PG10505-0232	管制性法規影響評估：政策分析：公眾諮商
PG10501-0133	禽畜蛋奶：即食米類：病原微生物汙染
PG10412-0166	急性肝衰竭：間葉幹細胞
PG10512-0224	重力基準：重力測量
PG10512-0166	不對稱流場場流：多角度靜態光散射：環境奈米粒子
PG10601-0173	氫能：燃料電池：工業餘氫
PG10501-0393	客家博物館：聚落保存：文化資產：地方發展政策
PG10502-0079	先進太陽電池：低碳足跡模組：太陽能應用系統
PG10502-0229	全球暖化：熱傷害：健康識能：問卷調查
PG10502-0153	情感性穩定劑：盛行率：疾病型態：全民健保
PG10502-0155	國際醫藥品稽查協約組織：訓練課程：品質管理人員
PG10503-0075	壓縮乾燥空氣：通電直熱再生：吸附式乾燥機
PG10512-0124	聚乳酸：聚乳酸回收：射出製程
PG10503-0084	都市氣象：粗糙度：都市熱島：大安森林公園
PG10501-0018	地電阻影像探測：孔內電極：土壤與地下水汙染整治
PG10512-0163	4g行動：故宮：前瞻科技
PG10502-0171	重型車輛耗能管制：車隊節能輔導：節能技術
PG10501-0248	跨領域：科技管理：智財運用
PG10501-0056	法規科學：臨床試驗：諮詢服務：創新：競爭力
PG10411-0066	臭氧注氣法：總石油碳氫化合物
PG10501-0806	實證照護：實證醫學：考科藍圖書館：實證健康照護決策：知識轉譯
PG10505-0118	長期照護：決策：急診就醫：老化
PG10501-0051	白英：鈕仔茄：黃水茄：雙花龍葵：次級代謝物
PG10506-0132	科技治理模式：科技治理限制與風險
PG10501-0805	工業基礎技術：幕僚支援：跨部會連結：策略規劃：產業推進：活動推廣
PG10512-0149	軟骨肉瘤：腦神經滋養因子：淋巴管新生
PG10512-0150	玉山正高：水準測量：衛星測量
PM10506-0044	電動車：關鍵組件：充電站：電池
PG10501-0607	巨量資料：智慧製造：智慧商務：巨量資料平台：巨量資料分析：機器學習
PG10501-0447	陣發性運動障礙症：prrt2：全外顯子定序：腦磁圖：功能性磁振造影
PG10501-0633	中藥材鑑別方法：市售常用或易混誤用中藥材：中藥材鑑別專書及隨書光碟版電子書
PG10411-0050	異化性金屬還原菌：重金屬：奈米：含氯有機污染物
PG10501-0434	食品添加物：食品添加物零售業：食品添加物批發業：化工原料零售業：化工原料批發業
PG10411-0087	電動力：植生復育：污染土壤：重金屬
PG10411-0075	現地生物整治：滲透灌漿：基質：含氯有機物：地下水汙染
PG10512-0075	殺蟲劑：抗藥性：生物檢定：鑑識劑量：交互抗性
PG10501-0026	臨床試驗：生物科技
PG10411-0070	木麻黃植物：放線根瘤菌：暗色隔膜內生菌：菌根菌：重金屬累積
PG10411-0060	氧化電極：複合污染：環境地工離心機：土壤整治：電動力技術
PG10411-0073	濕處理：廚餘：戴奧辛：污染土壤：整治技術
PG10411-0068	環境鑑識：底泥：土壤：離子交換樹脂：爐渣：重金屬
PG10408-0091	智慧系統：智慧車輛
PG10410-0035	產業競爭力：產業願景：前瞻
PG10501-0107	資訊軟體：網際網路
PG10501-0143	galectin-3：心肌纖維化指標：心臟衰竭：左心室充填型態
PG10412-0230	母子傳染：抗病毒藥物：b型肝炎e抗原, 孕婦b型肝炎、b肝表面抗原定量：周產期傳染：病毒量醫護人員：a型肝炎、b型肝炎、c型肝炎、e型肝炎：標準防護措施安全衛生：感染控制
PG10501-0179	食品安全：藥物安全：預警
PG10501-0125	食品標示諮詢：食品標示
PG10501-0127	蔬果農藥殘留：防腐劑：動物用藥
PG10503-0013	立體植栽：最適化光源：節能溫室：植物病原體檢測：植物生長監控
